=======================================================================================================================================
REPORTE DE PRUEBA - MEDICO_ATENCIONES
CODIGO    ATENCIONES      TIEMPO
---------------------------------------------------------------------------------------------------------------------------------------
 4393         4          09:06:20
 8618         6          09:20:15
 5814         8          17:59:26
 2846        11          21:33:14
 6506        10          20:02:19
 8697         7          15:38:39
 8516         8          11:34:37
 4494         7          13:56:04
 2427         5          10:36:07
 1847         8          15:53:38
 2655         6          11:17:35
 6836         7          11:28:40
 2139         8          16:49:15
 9017         6          09:29:18
 4691         7          11:54:15
 5243         6          12:02:32
 9398         9          23:10:41
 1759         5          10:07:23
 9846         6          11:40:54
 9994         8          15:18:39
 8872         5          11:33:49
 9418         9          23:26:16
 3603         7          17:21:49
 6357         3          08:46:52
 6924         4          09:09:31
 1691         4          09:41:49
 1265         5          11:54:10
 5204         4          06:13:16
 8159         5          08:42:48
 5119         7          15:12:08
 1545         8          13:57:45
 2824         8          17:49:56
 1323         7          14:28:56
 5791         5          08:23:01
 2239         6          11:12:38
 8748         7          13:59:19
 5908         6          12:19:24
 1313         3          05:21:05
 3922         6          11:39:19
 9822         4          08:13:41
 5899         2          01:59:22
 7727         4          08:55:20
 6587         4          08:02:30
 9444         3          05:23:17
 1282         3          04:26:22
 2375         3          07:24:34
 2466         1          00:34:30
