# registration_date,channel_id,channel_name,metric1,metric2,metric3,stream_date,stream_duration,peak_viewers
01/04/2021,F3765,Fextralife,1734810,93036735,222720,16/07/2025,00:25:55,1396
01/04/2021,F3765,Fextralife,1734810,93036735,222720,30/07/2025,01:15:20,5680
01/04/2021,F3765,Fextralife,1734810,93036735,222720,31/07/2025,01:40:07,9467
01/04/2021,F3765,Fextralife,1734810,93036735,222720,02/09/2025,01:20:26,13120
01/04/2021,F3765,Fextralife,1734810,93036735,222720,16/08/2025,01:20:20,15187
01/04/2021,F3765,Fextralife,1734810,93036735,222720,20/08/2025,00:42:16,6720
01/04/2021,F3765,Fextralife,1734810,93036735,222720,19/07/2025,00:17:47,4804
01/04/2021,F3765,Fextralife,1734810,93036735,222720,30/08/2025,02:17:31,14793
01/04/2021,F3765,Fextralife,1734810,93036735,222720,16/07/2025,00:40:53,2142
02/08/2023,G8611,Gaules,1370184,89705964,310998,16/07/2025,00:29:13,5886
02/08/2023,G8611,Gaules,1370184,89705964,310998,18/08/2025,01:19:06,19240
02/08/2023,G8611,Gaules,1370184,89705964,310998,21/07/2025,00:27:49,1294
02/08/2023,G8611,Gaules,1370184,89705964,310998,02/08/2025,00:35:20,18408
02/08/2023,G8611,Gaules,1370184,89705964,310998,16/07/2025,02:08:01,10817
02/08/2023,G8611,Gaules,1370184,89705964,310998,26/08/2025,00:54:28,8617
02/08/2023,G8611,Gaules,1370184,89705964,310998,28/08/2025,00:25:56,18037
02/08/2023,G8611,Gaules,1370184,89705964,310998,21/08/2025,01:39:02,17351
02/08/2023,G8611,Gaules,1370184,89705964,310998,23/08/2025,01:57:25,14488
20/01/2022,D9513,DreadzTV,1023779,102611607,387315,24/08/2025,01:30:01,10003
21/12/2022,S1679,Symfuhny,703986,106546942,300575,26/07/2025,00:58:39,8130
21/12/2022,S1679,Symfuhny,703986,106546942,300575,21/07/2025,00:47:48,744
21/12/2022,S1679,Symfuhny,703986,106546942,300575,12/08/2025,01:50:59,10549
21/12/2022,S1679,Symfuhny,703986,106546942,300575,11/08/2025,00:37:09,8092
21/12/2022,S1679,Symfuhny,703986,106546942,300575,26/07/2025,01:18:31,15432
09/02/2021,M2456,Myth,2068424,78998587,285644,02/08/2025,02:03:46,18351
09/02/2021,M2456,Myth,2068424,78998587,285644,16/08/2025,01:14:52,2450
09/02/2021,M2456,Myth,2068424,78998587,285644,04/08/2025,02:23:49,17759
09/02/2021,M2456,Myth,2068424,78998587,285644,19/07/2025,00:04:50,1622
09/02/2021,M2456,Myth,2068424,78998587,285644,16/07/2025,00:51:41,8136
09/02/2021,M2456,Myth,2068424,78998587,285644,19/08/2025,01:49:26,11258
09/02/2021,M2456,Myth,2068424,78998587,285644,15/07/2025,00:01:26,18220
11/09/2022,B8913,Baiano,554201,61715781,263720,24/07/2025,02:00:52,5538
11/09/2022,B8913,Baiano,554201,61715781,263720,01/08/2025,02:10:24,7623
11/09/2022,B8913,Baiano,554201,61715781,263720,15/07/2025,01:08:43,15998
10/12/2023,O2649,ONSCREEN,1089824,46084211,115633,24/08/2025,02:12:34,8658
10/12/2023,O2649,ONSCREEN,1089824,46084211,115633,04/08/2025,02:28:17,7714
10/12/2023,O2649,ONSCREEN,1089824,46084211,115633,30/08/2025,00:03:28,8012
10/12/2023,O2649,ONSCREEN,1089824,46084211,115633,12/08/2025,00:24:30,7167
10/12/2023,O2649,ONSCREEN,1089824,46084211,115633,08/08/2025,01:19:35,6688
08/02/2021,S8700,sneakylol,425468,670137548,68795,22/08/2025,01:29:30,5100
08/02/2021,S8700,sneakylol,425468,670137548,68795,03/09/2025,02:04:52,19078
08/02/2021,S8700,sneakylol,425468,670137548,68795,02/08/2025,01:44:35,3462
08/02/2021,S8700,sneakylol,425468,670137548,68795,17/07/2025,01:02:39,12786
08/02/2021,S8700,sneakylol,425468,670137548,68795,22/07/2025,01:28:27,18096
13/10/2023,N3735,NICKMERCS,951730,51349926,89387,11/08/2025,01:56:15,13177
13/10/2023,N3735,NICKMERCS,951730,51349926,89387,24/08/2025,00:17:49,5558
13/10/2023,N3735,NICKMERCS,951730,51349926,89387,21/08/2025,01:31:02,6778
13/10/2023,N3735,NICKMERCS,951730,51349926,89387,03/08/2025,02:18:33,3800
